Date,Price
2026-03-21,5752.19
2026-03-22,5752.19
2026-03-23,5686.82
2026-03-24,5909.23
2026-03-25,6134.23
2026-03-26,6035.52
2026-03-27,5999.99
2026-03-30,5908.96
2026-03-31,5904.1
2026-04-01,5904.1
2026-04-02,5875.69
2026-04-03,5875.69
2026-04-06,5861.45
2026-04-07,5832.82
2026-04-08,6090.5
2026-04-09,6076.18
2026-04-10,6152.73
2026-04-13,6152.73
2026-04-14,6152.73
2026-04-15,6174.99
2026-04-16,6230.76
2026-04-17,6263.94
2026-04-20,6222.79
2026-04-21,6222.46
2026-04-22,6213.84
